SOURCE LANGUAGE,TARGET LANGUAGE,TRANSLATION ENGINE,IS PREFERRED ENGINE?
ca,eu,Elia,True
ca,fr,Elia,False
ca,simple,Elia,False
en,ca,Elia,False
en,es,Elia,False
en,eu,Elia,True
en,fr,Elia,False
en,gl,Elia,False
es,eu,Elia,True
es,fr,Elia,False
es,simple,Elia,False
eu,ca,Elia,False
eu,es,Elia,False
eu,fr,Elia,False
eu,gl,Elia,False
eu,simple,Elia,False
fr,ca,Elia,False
fr,es,Elia,False
fr,eu,Elia,True
fr,gl,Elia,False
fr,simple,Elia,False
gl,eu,Elia,True
gl,fr,Elia,False
gl,simple,Elia,False
simple,ca,Elia,False
simple,es,Elia,False
simple,eu,Elia,False
simple,fr,Elia,False
simple,gl,Elia,False
